Airfoil,w_l1,w_l2,w_l3,w_l4,w_l5,w_l6,w_u1,w_u2,w_u3,w_u4,w_u5,w_u6,Alpha,CL,CD
A2,-0.19112,-0.1335,-0.17296,-0.11564,-0.16417,-0.15938,0.182404,0.157007,0.17242,0.122878,0.142488,0.127763,-2,-0.2168,0.00709
A2,-0.19112,-0.1335,-0.17296,-0.11564,-0.16417,-0.15938,0.182404,0.157007,0.17242,0.122878,0.142488,0.127763,0,-0.0244,0.00626
A2,-0.19112,-0.1335,-0.17296,-0.11564,-0.16417,-0.15938,0.182404,0.157007,0.17242,0.122878,0.142488,0.127763,2,0.2195,0.00772
A2,-0.19112,-0.1335,-0.17296,-0.11564,-0.16417,-0.15938,0.182404,0.157007,0.17242,0.122878,0.142488,0.127763,4,0.5056,0.0097
A2,-0.19112,-0.1335,-0.17296,-0.11564,-0.16417,-0.15938,0.182404,0.157007,0.17242,0.122878,0.142488,0.127763,6,0.7819,0.01208
A2,-0.19112,-0.1335,-0.17296,-0.11564,-0.16417,-0.15938,0.182404,0.157007,0.17242,0.122878,0.142488,0.127763,8,0.9348,0.01474
A2,-0.19112,-0.1335,-0.17296,-0.11564,-0.16417,-0.15938,0.182404,0.157007,0.17242,0.122878,0.142488,0.127763,10,1.058,0.01837
A3,-0.19503,-0.15053,-0.15913,-0.14588,-0.13329,-0.14844,0.160339,0.17436,0.151204,0.140416,0.138208,0.13931,-2,-0.2123,0.00712
A3,-0.19503,-0.15053,-0.15913,-0.14588,-0.13329,-0.14844,0.160339,0.17436,0.151204,0.140416,0.138208,0.13931,0,-0.0091,0.00638
A3,-0.19503,-0.15053,-0.15913,-0.14588,-0.13329,-0.14844,0.160339,0.17436,0.151204,0.140416,0.138208,0.13931,2,0.2026,0.00708
A3,-0.19503,-0.15053,-0.15913,-0.14588,-0.13329,-0.14844,0.160339,0.17436,0.151204,0.140416,0.138208,0.13931,4,0.4796,0.00897
A3,-0.19503,-0.15053,-0.15913,-0.14588,-0.13329,-0.14844,0.160339,0.17436,0.151204,0.140416,0.138208,0.13931,6,0.7643,0.01181
