w_l1,w_l2,w_l3,w_l4,w_l5,w_l6,w_u1,w_u2,w_u3,w_u4,w_u5,w_u6
-0.150767887,-0.047484051,-0.034125879,-0.038711345,-0.003496038,-0.011211983,0.229040312,0.253211499,0.317380409,0.196917764,0.288108738,0.248020127
-0.15384907,-0.053540367,-0.031397728,-0.048836023,-0.002838581,-0.010442583,0.201333999,0.281196709,0.278327695,0.225023714,0.279454447,0.270435308
-0.13641365,-0.061228896,-0.036439947,-0.040377609,-0.002761,-0.010927978,0.21114157,0.254626032,0.281028263,0.241987346,0.328215882,0.260900453
-0.134567814,-0.046850623,-0.031972622,-0.039669378,-0.003016112,-0.009336294,0.234651217,0.216789942,0.288186919,0.202868216,0.311761894,0.29325011
-0.119575746,-0.060774261,-0.033930998,-0.039099383,-0.00279387,-0.009480222,0.247025577,0.246730373,0.301885856,0.191675693,0.28852033,0.255917549
-0.145897666,-0.051115201,-0.028282576,-0.038301719,-0.002623512,-0.011008742,0.224174596,0.227026969,0.32871084,0.204748665,0.265951211,0.262313894
-0.154642613,-0.054505131,-0.029507757,-0.048000437,-0.003376916,-0.009296449,0.195160911,0.24548643,0.254262149,0.188443552,0.265068589,0.299720902
-0.116798316,-0.060043225,-0.033786428,-0.038931872,-0.003341821,-0.008640558,0.231775407,0.241102554,0.26428455,0.202086285,0.304093926,0.238602667
-0.12796915,-0.058219677,-0.028905243,-0.042574616,-0.002987022,-0.011287014,0.203602656,0.218367973,0.340251487,0.227260078,0.250848869,0.233348379
-0.140515635,-0.059752301,-0.034765757,-0.046904761,-0.003466956,-0.009094179,0.236672811,0.273147883,0.33022659,0.244792439,0.302560519,0.296070132
-0.121683765,-0.057423511,-0.032225793,-0.041982602,-0.002835761,-0.008763234,0.206364065,0.251834791,0.284282941,0.2297736,0.313631341,0.258634206
-0.124523636,-0.059444872,-0.03099816,-0.049426607,-0.003502146,-0.009142048,0.214320125,0.236263121,0.308182684,0.213379034,0.270875753,0.30620277
-0.133240021,-0.050715981,-0.027973673,-0.047351321,-0.002949504,-0.009182839,0.212438805,0.224985296,0.314001824,0.199066616,0.274251046,0.305527869
-0.155471266,-0.057951834,-0.033184755,-0.0502762,-0.003066306,-0.010310386,0.221577102,0.282519268,0.271109242,0.199809022,0.281392623,0.308162858
-0.15238953,-0.049425017,-0.032323659,-0.045611144,-0.003121867,-0.009768907,0.200664677,0.228752955,0.267606397,0.242509329,0.295929542,0.230549784
-0.132898168,-0.060444863,-0.030813628,-0.048442563,-0.002966036,-0.009973322,0.199100261,0.262926504,0.268661189,0.221974533,0.28318195,0.272189993
-0.118644386,-0.047352602,-0.03608094,-0.042934488,-0.002704126,-0.010793999,0.183957707,0.225480814,0.325175036,0.23790478,0.32628005,0.263163629
-0.118958013,-0.061576511,-0.034261824,-0.043381517,-0.003364199,-0.01085771,0.20494262,0.239806973,0.276020984,0.185090721,0.318882238,0.253613086
-0.139587508,-0.052957673,-0.028830897,-0.049955753,-0.003275182,-0.010503256,0.215761617,0.271759598,0.257173176,0.186354427,0.314623529,0.271155166
-0.120682523,-0.06101907,-0.03495483,-0.041323283,-0.003416366,-0.008437448,0.197367311,0.27632736,0.29377001,0.23273196,0.269525886,0.298551918
-0.130256699,-0.054848968,-0.035407794,-0.040984847,-0.003026489,-0.011123974,0.202143655,0.277815608,0.273150835,0.195107815,0.315554453,0.284446298
-0.132465422,-0.055806303,-0.032658847,-0.048945292,-0.003172394,-0.010657955,0.245264573,0.279576587,0.260849497,0.203780199,0.309914043,0.27789194
-0.136219646,-0.047888089,-0.035747649,-0.040125876,-0.00325182,-0.009875702,0.226905901,0.231921816,0.26624866,0.217198731,0.320230323,0.298019933
-0.129236424,-0.055140617,-0.030253581,-0.03851216,-0.003063209,-0.008697546,0.19072253,0.274737307,0.2627098,0.21947176,0.300232959,0.237751134
-0.146344609,-0.052218754,-0.030486662,-0.03946372,-0.003278644,-0.0104086,0.207418186,0.257005453,0.281893429,0.21236304,0.274939688,0.247865588
-0.126021067,-0.058803789,-0.035277129,-0.040837628,-0.00288786,-0.009602556,0.198217271,0.266062995,0.302792798,0.218817151,0.252256789,0.27994737
-0.150433297,-0.060481372,-0.035474839,-0.044066839,-0.002960512,-0.011093684,0.233555041,0.280577401,0.279799127,0.193334072,0.307820405,0.289679729
-0.143289775,-0.04662746,-0.02862466,-0.039245393,-0.003428862,-0.008369188,0.213060065,0.232504965,0.316088261,0.18720822,0.291405814,0.252634694
-0.11764234,-0.048033755,-0.035933737,-0.046682937,-0.002627301,-0.011197172,0.191938247,0.227874367,0.299311127,0.191746202,0.317521784,0.306857792
-0.141584094,-0.059585308,-0.028028782,-0.049775425,-0.003099286,-0.010727986,0.205363993,0.242233733,0.304049573,0.207309195,0.322307409,0.294827209
-0.148261486,-0.055536314,-0.031752762,-0.038000294,-0.003476402,-0.010969651,0.188124624,0.224015825,0.332055491,0.184685916,0.290032808,0.291265446
-0.142260264,-0.056524591,-0.034356538,-0.043766738,-0.003433826,-0.009509025,0.232430061,0.27722714,0.337464968,0.218191695,0.266887036,0.282481363
-0.12211644,-0.048402774,-0.035815761,-0.045055638,-0.003148382,-0.008739235,0.193646894,0.220756548,0.320305232,0.213449727,0.259944815,0.266947957
-0.130769956,-0.059187154,-0.032680686,-0.043572257,-0.002820054,-0.011034664,0.227995041,0.249964065,0.300166296,0.235670682,0.321320163,0.309411237
-0.144979719,-0.051381762,-0.033391502,-0.044212049,-0.00323041,-0.009988303,0.21081546,0.268490712,0.290319871,0.207823695,0.264001141,0.285661058
-0.125488043,-0.056243839,-0.033550504,-0.046475508,-0.003149574,-0.008452732,0.243075129,0.268448582,0.255700589,0.196568006,0.249914714,0.288283472
-0.149528765,-0.058053983,-0.033580685,-0.048258458,-0.002686718,-0.008615038,0.226133313,0.214104353,0.252920742,0.226036054,0.255917415,0.302420696
-0.128733289,-0.051972661,-0.031258393,-0.049285876,-0.002667571,-0.010701505,0.235505336,0.218797419,0.295354992,0.245375702,0.269407643,0.242212681
-0.123172571,-0.04635192,-0.027030935,-0.041753255,-0.002744357,-0.00880788,0.18509373,0.215672567,0.312017395,0.210798861,0.294166043,0.245305163
-0.11609523,-0.049610612,-0.028517305,-0.051051583,-0.003308904,-0.009058603,0.230656288,0.272459226,0.309804207,0.230703193,0.247887524,0.250324651
-0.12409183,-0.049881181,-0.033035738,-0.051267131,-0.003449039,-0.008957197,0.209520741,0.210262148,0.334144141,0.222960644,0.332393028,0.236203251
-0.126660868,-0.051815051,-0.027593452,-0.040477432,-0.003191995,-0.010369548,0.225184602,0.2124238,0.321576251,0.208910592,0.286317384,0.292257316
-0.117472979,-0.046968561,-0.031207727,-0.046376594,-0.002720585,-0.008570598,0.216368814,0.264169753,0.315391416,0.182958623,0.296950073,0.25785599
